Date,BondEXTRA NAV,Growth Fund NAV
2026-04-17,MYR 0.6083,MYR 1.6155
2026-04-20,MYR 0.6085,MYR 1.6162
2026-04-22,MYR 0.6084,MYR 1.6161
2026-04-23,MYR 0.6084,MYR 1.6280
2026-04-24,MYR 0.6084,MYR 1.6211
2026-04-25,MYR 0.6085,MYR 1.6347
2026-04-25,MYR 0.6085,MYR 1.6347
2026-04-26,MYR 0.6085,MYR 1.6347
2026-04-27,MYR 0.6085,MYR 1.6347
2026-04-28,MYR 0.6086,MYR 1.6417
2026-04-28,MYR 0.6086,MYR 1.6417
2026-04-29,MYR 0.6088,MYR 1.6462
2026-04-30,MYR 0.6088,MYR 1.6483
2026-05-01,MYR 0.6088,MYR 1.6416
2026-05-02,MYR 0.6088,MYR 1.6416
2026-05-03,MYR 0.6088,MYR 1.6416
2026-05-04,MYR 0.6088,MYR 1.6416
2026-05-05,MYR 0.6089,MYR 1.6344
